"0.8777,0.09839350418321621,17,876,[677]"
"0.8615,0.006950935086208238,3,435,[126, 579, 693]"
"0.8806,0.07221595325885401,15,945,[536]"
"0.8752,0.030400329774536623,2,462,[678]"
"0.8799,0.0729550290059328,17,700,[238, 203, 191, 459]"
"0.8882,0.05347364317753152,2,493,[708]"
"0.8556,0.04087009320280062,7,674,[571, 162, 636]"
"0.8744,0.09562280738167418,19,96,[71, 770, 558, 430]"
"0.8764,0.08825480140906404,13,881,[556, 782, 727]"
"0.8577,0.040879199214050255,2,346,[627, 327, 697, 609]"
"0.8319,0.06409796575654825,18,12,[74, 356]"
"0.8039,0.024648603893773716,16,969,[373, 230, 6, 112]"
"0.8795,0.004482626414162177,4,836,[351]"
"0.8075,0.032110960331975996,14,172,[688, 586, 126]"
"0.8734,0.08212378620069498,19,718,[227, 723]"
"0.8757,0.05429095043964532,12,683,[136, 768]"
"0.8659,0.0638628895006154,15,662,[78]"
"0.8606,0.04292526903449538,6,248,[140, 65, 234, 711]"
"0.8829,0.09532161619543904,2,859,[191]"
"0.8216,0.038003766067361486,20,336,[301, 656, 44, 450]"
"0.8777,0.09839350418321621,17,876,[677]"
"0.8806,0.07221595325885401,15,945,[536]"
"0.8752,0.030400329774536623,2,462,[678]"
"0.8799,0.0729550290059328,17,700,[238, 203, 191, 459]"
"0.8882,0.05347364317753152,2,493,[708]"
"0.8744,0.09562280738167418,19,96,[71, 770, 558, 430]"
"0.8764,0.08825480140906404,13,881,[556, 782, 727]"
"0.8795,0.004482626414162177,4,836,[351]"
"0.8734,0.08212378620069498,19,718,[227, 723]"
"0.8757,0.05429095043964532,12,683,[136, 768]"
"0.8829,0.09532161619543904,2,859,[191]"
"0.8779,0.09532161619543904,2,859,[301, 677, 38, 443]"
"0.8785,0.07221595325885401,15,700,[238, 238]"
"0.8856,0.004482626414162177,4,898,[373]"
"0.8886,0.029192724732244588,3,462,[126]"
"0.878,0.04292526903449538,6,640,[140, 65]"
"0.8768,0.0729550290059328,19,718,[238, 203, 191, 522]"
"0.8754,0.0729550290059328,19,700,[71, 770, 472, 558, 459]"
"0.8813,0.09562280738167418,4,925,[71]"
"0.882,0.04087009320280062,13,1005,[556, 782, 572]"
"0.8806,0.07221595325885401,15,945,[536]"
"0.8799,0.0729550290059328,17,700,[238, 203, 191, 459]"
"0.8882,0.05347364317753152,2,493,[708]"
"0.8795,0.004482626414162177,4,836,[351]"
"0.8829,0.09532161619543904,2,859,[191]"
"0.8785,0.07221595325885401,15,700,[238, 238]"
"0.8856,0.004482626414162177,4,898,[373]"
"0.8886,0.029192724732244588,3,462,[126]"
"0.878,0.04292526903449538,6,640,[140, 65]"
"0.8813,0.09562280738167418,4,925,[71]"
"0.882,0.04087009320280062,13,1005,[556, 782, 572]"
"0.8885,0.09839350418321621,17,1006,[677]"
"0.8861,0.004482626414162177,12,1005,[556]"
"0.8901,0.04292526903449538,2,859,[178, 65]"
"0.8824,0.07221595325885401,17,700,[123, 238, 222]"
"0.8857,0.05659311072541955,2,436,[351]"
"0.8781,0.09532161619543904,15,859,[238, 203, 191, 396]"
"0.8801,0.07221595325885401,17,876,[589]"
"0.8889,0.04087009320280062,15,1005,[486]"
"0.8856,0.03198677349713,2,925,[71]"
"0.8882,0.05347364317753152,2,493,[708]"
"0.8829,0.09532161619543904,2,859,[191]"
"0.8856,0.004482626414162177,4,898,[373]"
"0.8886,0.029192724732244588,3,462,[126]"
"0.8885,0.09839350418321621,17,1006,[677]"
"0.8861,0.004482626414162177,12,1005,[556]"
"0.8901,0.04292526903449538,2,859,[178, 65]"
"0.8824,0.07221595325885401,17,700,[123, 238, 222]"
"0.8857,0.05659311072541955,2,436,[351]"
"0.8889,0.04087009320280062,15,1005,[486]"
"0.8856,0.03198677349713,2,925,[71]"
"0.8882,0.07168624701821635,2,700,[71]"
"0.8917,0.04292526903449538,4,859,[74]"
"0.8958,0.06576908164059503,2,945,[536]"
"0.8829,0.07221595325885401,15,700,[238]"
"0.8903,0.004156284893701469,17,700,[123]"
"0.8865,0.004110697303196914,4,898,[363, 373]"
"0.8916,0.06089162676515605,2,859,[191]"
"0.8878,0.09839350418321621,17,783,[514]"
"0.8927,0.09839350418321621,17,700,[637, 203, 191, 459]"
"0.8882,0.05347364317753152,2,493,[708]"
"0.8886,0.029192724732244588,3,462,[126]"
"0.8885,0.09839350418321621,17,1006,[677]"
"0.8901,0.04292526903449538,2,859,[178, 65]"
"0.8889,0.04087009320280062,15,1005,[486]"
"0.8882,0.07168624701821635,2,700,[71]"
"0.8917,0.04292526903449538,4,859,[74]"
